,age,gender,smile,mood,attention,distance
1374,18,MALE,SMILING,NEGATIVE,LOOKING_DOWN,0.7
1377,19,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.9
1391,22,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.56
1429,25,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.64
1431,25,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.71
1493,27,FEMALE,BROADLY_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.91
1534,26,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.99
1542,33,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.59
1557,17,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.62
1589,24,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.88
1590,24,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.89
1591,25,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.91
1592,26,MALE,SMILING,NEGATIVE,LOOKING_DOWN_RIGHT,0.63
1600,9,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.34
1645,16,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.23
1681,32,MALE,SMILING,NEUTRAL,LOOKING_UP,0.58
1726,54,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.77
1727,54,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.78
1728,65,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.47
1730,65,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.76
1750,17,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.81
1772,11,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.37
1850,23,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.97
1854,23,MALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.65
1886,32,MALE,SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.59
1903,26,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.76
1920,27,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.46
1921,27,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.48
1927,27,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.6
1928,27,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.61
1935,25,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.78
1942,20,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.65
1943,20,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.49
1944,20,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.52
1945,20,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.4
1958,60,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,1.03
1960,60,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.65
1961,60,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.76
1968,58,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.77
1973,53,MALE,BROADLY_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.84
1980,27,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.65
1982,27,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_LEFT,0.6
2014,10,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.65
2023,10,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.78
2026,26,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.05
2028,26,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.94
2032,26,FEMALE,SMILING,NEUTRAL,LOOKING_LEFT,1.17
2034,26,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,1.05
2036,26,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,1.07
2038,26,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.43
2048,18,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.31
2050,15,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.69
2057,20,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.61
2060,19,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,1.39
2061,19,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,1.44
2065,23,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,1.25
2087,24,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.45
2089,24,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.55
2092,15,FEMALE,SMILING,NEGATIVE,LOOKING_RIGHT,0.6
2094,16,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.99
2096,16,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.85
2099,16,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.88
2100,14,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.93
2103,19,FEMALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,1.21
2104,15,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,1.28
2105,50,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.56
2147,12,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.67
2148,12,FEMALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.46
2149,12,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.93
2150,11,FEMALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.55
2153,24,FEMALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.61
2173,24,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.42
